IDDPTO;NOMBDEP;LAT;LON
01;AMAZONAS;-5.07072874154;-78.05489176010
02;ANCASH;-9.40702234091;-77.66996639850
03;APURIMAC;-14.02813586740;-72.97537936800
04;AREQUIPA;-15.84343689400;-72.47492432100
05;AYACUCHO;-14.09061628990;-74.08304722830
06;CAJAMARCA;-6.43300318075;-78.74544305950
07;CALLAO;-11.94033230090;-77.12585477280
08;CUSCO;-13.18883657290;-72.16861396230
09;HUANCAVELICA;-13.02428062330;-75.00269464690
10;HUANUCO;-9.41849310098;-76.02989810080
11;ICA;-14.23430399850;-75.57358382850
12;JUNIN;-11.53507260680;-74.88660173780
13;LA LIBERTAD;-7.92141326741;-78.36833748840
14;LAMBAYEQUE;-6.34056470770;-79.82688906780
15;LIMA;-11.78556757430;-76.62717287320
16;LORETO;-4.12011895273;-74.42643823040
17;MADRE DE DIOS;-11.98108702370;-70.53430518100
18;MOQUEGUA;-16.85982961190;-70.83842406100
19;PASCO;-10.39887328150;-75.29991053140
20;PIURA;-5.12799822414;-80.33597652090
21;PUNO;-14.98973285620;-69.92314279880
22;SAN MARTIN;-7.03461854001;-76.71481293530
23;TACNA;-17.64471716350;-70.27696126290
24;TUMBES;-3.85634757718;-80.54457718420
25;UCAYALI;-9.61953656326;-73.43475326070
